Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
École Nationale d'Ingénieurs de Brest,École Nationale d'Ingénieurs de Brest,ENIB,France
École Nationale d'Ingénieurs de Saint-Etienne,École Nationale d'Ingénieurs de Saint-Etienne,ENISE,France
Naval Military Academy,Naval Military Academy,ENM,Spain
Eastern New Mexico University,Eastern New Mexico University,ENMU,United States of America (USA)
École des Ponts ParisTech,École des Ponts ParisTech,ENPC,France
École Normale Supérieure Paris-Saclay (ENS Paris-Saclay),École Normale Supérieure Paris-Saclay (ENS Paris-Saclay),ENS Paris-Saclay,France
École Normale Supérieure de Rennes (ENS Rennes),École Normale Supérieure de Rennes (ENS Rennes),ENS Rennes,France
École Nationale Supérieure d’Architecture de Normandie (ENSA Normandie),École Nationale Supérieure d’Architecture de Normandie (ENSA Normandie),ENSA Normandie,France
École Nationale de la Statistique et de l'Administration Economique (ENSAE ParisTech),École Nationale de la Statistique et de l'Administration Economique (ENSAE ParisTech),ENSAE ParisTech,France
École Nationale Supérieure de Chimie de Montpellier,École Nationale Supérieure de Chimie de Montpellier,ENSCM,France
École Nationale Supérieure de Chimie de Rennes,École Nationale Supérieure de Chimie de Rennes,ENSCR,France
National Teacher Training School in Agronomy,National Teacher Training School in Agronomy,ENSFEA,France
National Graduate School of Engineering and Research Center,National Graduate School of Engineering and Research Center,ENSICAEN,France
National Engineering Institute in Mechanics and Microtechnologies,National Engineering Institute in Mechanics and Microtechnologies,ENSMM,France
École Nationale Supérieure de Techniques Avancées Bretagne (ENSTA Bretagne),École Nationale Supérieure de Techniques Avancées Bretagne (ENSTA Bretagne),ENSTA Bretagne,France
Superior National School of Advanced Techniques (ENSTA ParisTech),Superior National School of Advanced Techniques (ENSTA ParisTech),ENSTA ParisTech,France
École Nationale des Travaux Publics de l'État,École Nationale des Travaux Publics de l'État,ENTPE,France
L.N. Gumilyov Eurasian National University,L.N. Gumilyov Eurasian National University,ENU,Kazakhstan
National Veterinary School of Alfort,National Veterinary School of Alfort,ENVA,France
National Veterinary School of Lyon,National Veterinary School of Lyon,ENVL,France
Ente Ospedaliero Cantonale,Ente Ospedaliero Cantonale,EOC,Switzerland
Environment Protection Authority Victoria,Environment Protection Authority Victoria,EPA,Australia
Environmental Protection Administration,Environmental Protection Administration,EPA,Taiwan
U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA,United States of America (USA)
El Paso Community College,El Paso Community College,EPCC,United States of America (USA)
"Enhanced Pharmacodynamics, LLC","Enhanced Pharmacodynamics, LLC",ePD,United States of America (USA)
Centro Hospitalar de Lisboa Central,Centro Hospitalar de Lisboa Central,EPE,Portugal
Swiss Federal Institute of Technology Lausanne,Swiss Federal Institute of Technology Lausanne,EPFL,Switzerland
Ethiopian Public Health Institute,Ethiopian Public Health Institute,EPHI,Ethiopia
Swiss Epilepsy Centre,Swiss Epilepsy Centre,EPI,Switzerland
National Polytechnic School,National Polytechnic School,EPN,Ecuador
Experimental Pharmacology and Oncology Berlin-Buch GmbH,Experimental Pharmacology and Oncology Berlin-Buch GmbH,EPO,Germany
Environment and Population Research Centre,Environment and Population Research Centre,EPRC,Bangladesh
Egyptian Petroleum Research Institute,Egyptian Petroleum Research Institute,EPRI,Egypt
Electric Power Research Institute,Electric Power Research Institute,EPRI,United States of America (USA)
Ministry of Health and Social Welfare (Equatorial Guinea),Ministry of Health and Social Welfare (Equatorial Guinea),Equatorial Guinea,Equatorial Guinea
Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University,ERAU,United States of America (USA)
"Engineering Research and Consulting, Inc.","Engineering Research and Consulting, Inc.",ERC,United States of America (USA)
Egyptian Relativity Group,Egyptian Relativity Group,ERG,Egypt
European Research Initiative on ALK-Related Malignancies,European Research Initiative on ALK-Related Malignancies,ERIA,United Kingdom (UK)
European Research Institute of Catalysis,European Research Institute of Catalysis,ERIC,Belgium
European Space Agency,European Space Agency,ESA,France
École Supérieure d’Agricultures,École Supérieure d’Agricultures,ESA,France
"Enterprise Science and Computing, Inc.","Enterprise Science and Computing, Inc.",ESAC,United States of America (USA)
East Sydney Doctors,East Sydney Doctors,ESD,Australia
Indonesia Ministry of Energy and Mineral Resources of the Republic of Indonesia,Indonesia Ministry of Energy and Mineral Resources of the Republic of Indonesia,ESDM,Indonesia
European Scientific Institute,European Scientific Institute,ESI,France
ESIC Medical College and Postgraduate Institute of Medical Sciences and Research (ESI-PGIMSR),ESIC Medical College and Postgraduate Institute of Medical Sciences and Research (ESI-PGIMSR),ESI-PGIMSR,India
European Southern Observatory,European Southern Observatory,ESO,Germany
Escuela Superior Politécnica del Litoral,Escuela Superior Politécnica del Litoral,ESPOL,Ecuador
Institute of Environmental Science and Research,Institute of Environmental Science and Research,ESR,New Zealand
Earth & Space Research,Earth & Space Research,ESR,United States of America (USA)
École Supérieure de Réalisation Audiovisuelle,École Supérieure de Réalisation Audiovisuelle,ESRA,France
European Synchrotron Radiation Facility,European Synchrotron Radiation Facility,ESRF,France
South Savo Social and Health Care Authority,South Savo Social and Health Care Authority,Essote,Finland
"Empresa Pública Municipal de Telecomunicaciones, Agua Potable, Alcantarillado y Saneamiento de Cuenca","Empresa Pública Municipal de Telecomunicaciones, Agua Potable, Alcantarillado y Saneamiento de Cuenca",ETAPA,Ecuador
Swiss Federal Institute of Technology Zurich (ETH Zurich),Swiss Federal Institute of Technology Zurich (ETH Zurich),ETH Zurich,Switzerland
Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute,ETRI,South Korea
European Theoretical Spectroscopy Facility,European Theoretical Spectroscopy Facility,ETSF,Belgium
East Tennessee State University,East Tennessee State University,ETSU,United States of America (USA)
Erzurum Technical University,Erzurum Technical University,ETU,Turkey
Elisabeth-Tweesteden Hospital,Elisabeth-Tweesteden Hospital,ETZ,Netherlands
Elizade University,Elizade University,EU,Nigeria
European Centre for Training and Research in Earthquake Engineering,European Centre for Training and Research in Earthquake Engineering,EUCENTRE,Italy
Erasmus University Rotterdam,Erasmus University Rotterdam,EUR,Netherlands
European Academy of Bozen/Bolzano,European Academy of Bozen/Bolzano,EURAC,Italy
"Eastern University, Sri Lanka","Eastern University, Sri Lanka",EUSL,Sri Lanka
European Translational Oncology Prevention and Screening Institute (EUTOPS Institute),European Translational Oncology Prevention and Screening Institute,EUTOPS Institute,Austria
Finnish Food Safety Authority Evira,Finnish Food Safety Authority Evira,Evira,Finland
European Virtual Institute for Speciation Analysis,European Virtual Institute for Speciation Analysis,EVISA,Germany
Eastern Virginia Medical School,Eastern Virginia Medical School,EVMS,United States of America (USA)
Ewha Womans University,Ewha Womans University,Ewha,South Korea
Eastern Washington University,Eastern Washington University,EWU,United States of America (USA)
EnterpriseWorks/VITA,EnterpriseWorks/VITA,EWV,United States of America (USA)
Exxon Mobil Corporation,Exxon Mobil Corporation,ExxonMobil,United States of America (USA)
Franklin and Marshall College (F&M),Franklin and Marshall College (F&M),F&M,United States of America (USA)
Fundacion Ayuda Enfermo Renal y Alta Complejidad,Fundacion Ayuda Enfermo Renal y Alta Complejidad,Faerac,Argentina
Fujian Agriculture and Forestry University,Fujian Agriculture and Forestry University,FAFU,China
"FAIR Data Infrastructure for Physics, Chemistry, Materials Science, and Astronomy e.V. (FAIR DI)","FAIR Data Infrastructure for Physics, Chemistry, Materials Science, and Astronomy e.V. (FAIR DI)",FAIR DI,Germany
Fundación Arturo López Pérez,Fundación Arturo López Pérez,FALP,Chile
Faculty of Medicine of São José do Rio Preto,Faculty of Medicine of São José do Rio Preto,FAMERP,Brazil
Faroe Marine Research Institute,Faroe Marine Research Institute,FAMRI,Faroe Islands
Florida Agricultural and Mechanical University,Florida Agricultural and Mechanical University,FAMU,United States of America (USA)
São Paulo Research Foundation,São Paulo Research Foundation,FAPESP,Brazil
University of Erlangen-Nuremberg,University of Erlangen-Nuremberg,FAU,Germany
Florida Atlantic University,Florida Atlantic University,FAU,United States of America (USA)
Bruno Kessler Foundation,Bruno Kessler Foundation,FBK,Italy
Foundation for Biomedical Research and Innovation,Foundation for Biomedical Research and Innovation,FBRI,Japan
"Fomento de Construcciones y Contratas, S.A.","Fomento de Construcciones y Contratas, S.A.",FCC,Spain
Fundação Centro de Controle de Oncologia do Estado do Amazonas,Fundação Centro de Controle de Oncologia do Estado do Amazonas,FCECON,Brazil
Faculdade de Ciências Médicas da Santa Casa de São Paulo (FCMSC-SP),Faculdade de Ciências Médicas da Santa Casa de São Paulo (FCMSC-SP),FCMSC-SP,Brazil
Fundación para la Conservación del Quebrantahuesos,Fundación para la Conservación del Quebrantahuesos,FCQ,Spain
Fondation Camerounaise de la Terre Vivante,Fondation Camerounaise de la Terre Vivante,FCTV,Cameroon
Feng Chia University,Feng Chia University,FCU,Taiwan
Fundación Cardiovascular de Colombia,Fundación Cardiovascular de Colombia,FCV,Colombia
Forestry Development Authority (FDA) - Republic of Liberia,Forestry Development Authority (FDA) - Republic of Liberia,FDA,Liberia
Ferrite Domen Company,Ferrite Domen Company,FDC,Russia
